id	advert_id	domain	developer	address	gp	description	entrance_number	floor	area	room_count	flat_number	price	published_at	actualized_at
15bd8d7a-5d35-4995-85f8-752524668ea7	320008	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1, квартира №3	ГП-7	1-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 1 подъезд	1	2	39.5	1	3	3800000	2023-04-21 12:31:15.464000+00:00	2024-01-09 07:01:07.019000+00:00
7d095f68-e01c-4d22-a736-e9f6ece4086d	322554	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 1, квартира №59	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 1 подъезд	1	11	39.6	1	59	4350000	2023-12-15 18:52:50.829000+00:00	2024-04-16 17:49:01.598000+00:00
8e9de67b-2da1-4ccf-89ac-dc830748fb74	321422	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3, квартира №204	ГП-5	3-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 3 подъезд	3	11	86.9	3	204	7600000	2023-08-27 12:11:25.175000+00:00	2023-12-05 13:54:24.357000+00:00
fb30384d-5c0b-4f66-b647-5b58d34be800	320307	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №107		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	6	37.3	1	107	4100000	2023-06-01 05:39:12.106000+00:00	2023-08-17 10:50:27.525000+00:00
6a4c4c72-9fef-4644-bc6f-0b740f08b0a8	320137	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2, квартира №132	ГП-7	1-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 2 подъезд	2	11	37.4	1	132	3650000	2023-04-21 12:31:15.769000+00:00	2023-07-28 15:54:12.284000+00:00
e89145bb-53f5-45e8-be93-8ff62b200047	251734	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 12, подъезд 2, квартира №151		3-комнатная квартира на ул. Валентины Трофимовой, дом 12 2 подъезд	2	13	86.8	3	151	7250000	2023-03-13 05:11:14.056000+00:00	2023-08-30 11:38:20.676000+00:00
0742a16d-d707-463d-a1af-04df05e634d8	300752	t-dsk.ru	ТДСК	ул. Монтажников, д. 38, подъезд 3, квартира №199		3-комнатная квартира на ул. Монтажников, дом 38 3 подъезд	3	10	86.8	3	199	7250000	2023-03-13 05:11:06.533000+00:00	2023-10-27 18:03:49.672000+00:00
3813b3c9-ff71-486e-b406-8696b50005fc	320140	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2, квартира №135	ГП-7	3-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 2 подъезд	2	12	86.9	3	135	5950000	2023-04-21 12:30:42.612000+00:00	2023-08-22 15:28:34.055000+00:00
991d394c-b718-4da2-8bdf-435b989ede0f	320414	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 3, квартира №214		3-комнатная квартира на ул. Монтажников, дом 40 3 подъезд	3	13	86.8	3	214	7350000	2023-06-01 05:38:23.803000+00:00	2023-10-25 12:28:25.812000+00:00
bbbfa000-7591-4b7e-aa23-937d4f258fdb	320352	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №152		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	15	37.3	1	152	4100000	2023-06-01 05:39:11.990000+00:00	2023-09-25 18:13:50.818000+00:00
998f5e09-deea-4c10-9a23-d5fe5a9f768e	322571	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 1, квартира №76	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 1 подъезд	1	14	37.3	1	76	4300000	2023-12-15 18:52:36.401000+00:00	2024-02-21 14:31:27.295000+00:00
f9c0337b-42b0-4365-8e1a-84ebfe69f7bf	321316	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2, квартира №98	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 2 подъезд	2	4	39.7	1	98	4500000	2023-08-27 12:12:40.342000+00:00	2023-09-26 20:57:23.376000+00:00
5d497602-77a6-4e45-ae55-734227d51fbd	322828	t-dsk.ru	ТДСК	ул. Монтажников 42, к.1 (ГП-5-12), подъезд 2, квартира №86	ГП-5	1-комнатная квартира на ул. Монтажников 42, к.1 ГП-5-12 2 подъезд	2	8	41.1	1	86	4550000	2023-12-19 12:32:13.894000+00:00	2024-02-02 15:41:55.892000+00:00
0804b4e1-f182-4395-ade4-41f84beb4a85	321434	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3, квартира №216	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 3 подъезд	3	14	39.4	1	216	4500000	2023-08-27 12:12:36.463000+00:00	2023-12-04 11:01:19.639000+00:00
e46316f1-4d91-45d7-a2cf-7e66626c757c	321392	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3, квартира №174	ГП-5	3-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 3 подъезд	3	5	86.8	3	174	7600000	2023-08-27 12:11:25.302000+00:00	2023-09-18 16:42:08.303000+00:00
1aee02d2-08fa-4228-a4f5-1ed27826bb35	251749	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 12, подъезд 2, квартира №166		1-комнатная квартира на ул. Валентины Трофимовой, дом 12 2 подъезд	2	15	39.5	1	166	4250000	2023-03-13 05:12:29.019000+00:00	2023-09-22 18:53:53.802000+00:00
8dde7bd2-573e-4aff-98d4-9f55c2ebd094	320216	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 1, квартира №16		1-комнатная квартира на ул. Монтажников, дом 40 1 подъезд	1	4	37.2	1	16	4100000	2023-06-01 05:39:12.307000+00:00	2023-09-07 16:48:48.390000+00:00
202e2bbd-b5d1-4fcb-bd47-5de32a451971	320814	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2, квартира №110	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.3, к.1 ГП-7.11 2 подъезд	2	7	41.1	1	110	3950000	2023-08-27 21:08:14.989000+00:00	2023-12-11 12:59:59.836000+00:00
b24c0cf5-d7a3-45eb-b04f-8b7babd7fb67	322419	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 5, (ГП-7.6), подъезд 5, квартира №216	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.5, ГП-7.6 5 подъезд	5	3	40.7	1	216	3750000	2023-12-06 07:46:47.581000+00:00	2023-12-19 21:26:11.065000+00:00
b9aa6845-58c9-4717-87ca-48a20295cabe	321359	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2, квартира №141	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 2 подъезд	2	13	39.6	1	141	4500000	2023-08-27 12:12:40.110000+00:00	2023-10-03 13:34:05.259000+00:00
9868c911-4279-4386-88f4-a654d5a647d3	320342	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №142		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	13	37.3	1	142	4100000	2023-06-01 05:39:12.017000+00:00	2023-09-07 16:48:48.390000+00:00
f66da56a-1284-4e98-9121-b01c4f3b01f7	320286	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №86		1-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	2	39.6	1	86	4250000	2023-06-01 05:39:34.677000+00:00	2023-08-22 06:34:31.331000+00:00
a069e369-ffcf-4ebb-a333-a878fbd47cb0	320320	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 2, квартира №120		3-комнатная квартира на ул. Монтажников, дом 40 2 подъезд	2	9	86.7	3	120	7350000	2023-06-01 05:38:27.198000+00:00	2023-08-17 10:50:27.525000+00:00
4e092a20-919f-4697-8509-1df191ac2119	302362	t-dsk.ru	ТДСК	ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1, квартира №4	ГП-7	2-комнатная квартира на ул. Федора Достоевского, д. 24, ГП-7.10.3 1 подъезд	1	1	53.5	2	4	4500000	2023-03-13 05:11:17.586000+00:00	2023-08-14 08:45:49.363000+00:00
5b09316b-3544-4f28-8da6-be78a84d5d3d	322367	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 5, (ГП-7.6), подъезд 4, квартира №164	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.5, ГП-7.6 4 подъезд	4	4	40.9	1	164	3750000	2023-12-06 07:46:51.161000+00:00	2023-12-19 21:26:11.065000+00:00
fb8ce157-3b13-4fd6-afaa-d7a854a15a60	321306	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2, квартира №88	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 2 подъезд	2	2	39.6	1	88	4500000	2023-08-27 12:12:40.394000+00:00	2023-12-07 10:35:38.029000+00:00
